name,weight,area,height,wall_thickness,inertia,plastic,radius,moment self,compression self
HSS139.7X139.7X9.5,37.0,4974,140,9.53,14110215,216298,53.26415446,0.7561875,1.81485
HSS203.2X203.2X6.4,38.4,4995,203,6.35,32193213,327416,80.28202632,0.7848,1.88352
HSS114.3X114.3X12.7,37.1,5146,114,12.7,8801178,173765,41.35555182,0.75823125,1.819755
HSS177.8X177.8X7.9,41.0,5401,178,7.94,26033692,306171,69.42670428,0.8379375,2.01105
HSS152.4X152.4X9.5,40.8,5431,152,9.53,18372655,257916,58.16313394,0.83385,2.00124
HSS228.6X228.6X6.4,43.4,5655,229,6.35,46725135,419718,90.89648187,0.8869875,2.12877
HSS304.8X304.8X4.8,44.4,5717,305,4.76,85885797,572114,122.5724667,0.907425,2.17782
HSS127X127X12.7,42.1,5806,127,12.7,12643030,221225,46.6627796,0.86041875,2.065005
HSS203.2X203.2X7.9,47.3,6195,203,7.94,39285646,402806,79.63291154,0.96669375,2.320065
HSS254X254X6.4,48.5,6290,254,6.35,64298000,519265,101.1026891,0.99121875,2.378925
HSS177.8X177.8X9.5,48.4,6422,178,9.53,30378713,360642,68.77758949,0.989175,2.37402
HSS228.6X228.6X7.9,53.6,7021,229,7.94,57182053,517344,90.24736709,1.09545,2.62908
HSS152.4X152.4X12.7,52.2,7076,152,12.7,22885785,328583,56.86898686,1.0668375,2.56041
HSS203.2X203.2X9.5,56.0,7375,203,9.53,46008973,475619,78.98379676,1.1445,2.7468
HSS304.8X304.8X6.4,58.6,7586,305,6.35,112763883,755157,121.9233519,1.1976375,2.87433
HSS254X254X7.9,60.0,7815,254,7.94,78859188,640975,100.4535744,1.22625,2.943
HSS228.6X228.6X9.5,63.6,8366,229,9.53,67162543,612043,89.59825231,1.299825,3.11958
HSS177.8X177.8X12.7,62.4,8397,178,12.7,38241157,462688,67.48344241,1.2753,3.06072
HSS152.4X152.4X15.9,62.6,8656,152,15.9,26722694,392692,55.56259233,1.2793875,3.07053
HSS254X254X9.5,71.2,9319,254,9.53,92827864,759421,99.80445957,1.45515,3.49236
