name,weight,area,depth,flange_width,web_thickness,flange_thickness,inertia_x,plastic_x,radius_x,inertia_y,plastic_y,radius_y,moment_self,compression_self
W920X970,970,124000,1040,447,50,89.9,21100,47700,411,1340,9520,104,19.824375,47.5785
W1000X976,975,125000,1110,429,50,89.9,23500,50500,434,1190,8880,98,19.9265625,47.82375
W360X990,990,126000,549,450,71.9,115,5160,24300,203,1740,12000,117,20.233125,48.5595
W920X1077,1080,137000,1060,452,55.1,99.1,23800,53600,417,1540,10800,106,22.0725,52.974
W360X1086,1090,139000,569,455,78,125,5950,27200,208,1960,13400,119,22.276875,53.4645
W920X1194,1190,152000,1080,457,60.5,109,27000,60000,422,1750,12200,107,24.320625,58.3695
W360X1202,1200,154000,579,472,95,130,6620,30000,208,2310,15200,123,24.525,58.86
W920X1269,1270,162000,1090,462,64,115,29100,64200,424,1910,13200,109,25.955625,62.2935
W360X1299,1300,166000,599,478,100,140,7530,33300,213,2570,16700,124,26.56875,63.765
W920X1377,1380,175000,1090,472,76.7,115,30400,67700,417,2060,14100,108,28.20375,67.689
Units,kg/m,mm^2,mm,mm,mm,mm,mm^4/10^6,mm^3/10^3,mm,mm^4/10^6,mm^3/10^3,mm,kNm,kN
EDI_Std_Nomenclature,W,A,d,bf,tw,tf,Ix,Zx,rx,Iy,Zy,ry,Ms,Ps
